generation,average
0,14.7
1,17.066666666666666
2,18.5
3,19.166666666666668
4,21.133333333333333
5,23.1
6,23.533333333333335
7,23.3
8,24.133333333333333
9,24.766666666666666
10,24.933333333333334
11,25.466666666666665
12,25.866666666666667
13,25.966666666666665
14,25.5
15,25.233333333333334
16,25.233333333333334
